case_id,case_name,evidence_level,date_start,date_end,event_date,market_question,market_url,outcome_traded,entry_price_approx,size_usd,profit_usd,funding_source,category,notes
1,French Whale Théo,C,2024-09,2024-11,2024-11-05,"Presidential Election Winner 2024 + swing states",,Trump Yes,,52000000,85600000,Kraken,politics,"Ambiguïté sharp vs insider. 11 wallets (Chainalysis). YouGov neighbor poll methodology. Benchmark d'ambiguïté."
2,Iran strikes US-Israël,A,2026-02-22,2026-02-28,2026-02-28,"US strikes Iran by February 28, 2026?",,Yes,0.108-0.17,,1563658,Binance,geopolitics,"Cluster 6 wallets ($989K) + Magamyman ($574K). CNN/Bubblemaps: 38 comptes >$2M. Pre-funding 22 fév. Rep. Levin enquête."
3,Maduro capture,B,2026-01,2026-01-04,2026-01-04,"Maduro out by January 31, 2026?",,Yes,0.05-0.07,,630484,Coinbase-linked,geopolitics,"3 wallets fresh. Dernier bet <5h avant explosions Caracas. 94% win-rate."
4,Axiom / ZachXBT reveal,A,2026-02,2026-02-27,2026-02-27,"Which crypto company will ZachXBT expose for insider trading?",,Yes Axiom,0.14,,1000000,,crypto,"12 wallets flaggés Lookonchain >$1M. 8/10 top earners = insiders (BeInCrypto). 56.2% adresses profitables."
5,Biden pardons,B,2024-12,2025-01,,Who will Biden pardon?,,Yes (Jim Biden; Cheney; Schiff; Kinzinger; Hunter),near zero,64000,316346,Kraken,politics,"2 comptes liés par shared Kraken deposit. Perfect track record. Mitts: odds virtually zero by chance."
6,Nobel Peace Prize 2025,B,2025-10-09,2025-10-10,2025-10-10,2025 Nobel Peace Prize Winner,,Yes Maria Corina Machado,0.036-0.08,,90000,,politics,"3 comptes. Fuite à partir de minuit norvégien 9 oct. Enquête Norwegian Nobel Institute ouverte."
7,Conclave Pope Leo XIV,C,,2025-05-08,2025-05-08,Next Pope?,,Yes Robert Prevost,0.01,,,,,"culture","Odds 1%→100% avant apparition balcon. Adresses 0x non identifiées. Jamming Sistine → leak visuel probable."
8,Super Bowl LX halftime,B,2026-02-07,2026-02-08,2026-02-08,"Will [artiste] perform at Super Bowl LX halftime?",,Yes Lady Gaga + others,,47000,17000,,sports,"Wallet créé 24h avant. 17/20 correct. Insider production side plausible."
9,AlphaRaccoon Google Year in Search,B,2025-12,2025-12,2025-12,"Google Year in Search 2025 / Most Searched Person",,Multiple (d4vd Yes; Pope NO; etc.),0.002,3000000,1100000,,culture,"22/23 correct. Exploit staging API leak (Google pushed results early). Antécédent Gemini 3.0 Flash $150K."
10,Spotify Wrapped 2025,A,2025-12,2025-12-03,2025-12-03,"Top 10 Spotify Wrapped 2025 - Who will be #3?",,Yes The Weeknd,0.03,800,,,,culture,"Mécanisme démontré: WordPress Google Cloud Storage bucket scraping. Total suspects $3.16M. Sharp OSINT, pas insider strict."
11,Ricosuave666 Israel strikes,A,2025-06,2026-02,,"Israel strikes Iran (multiple dates)",,Yes,,8198,155699,,geopolitics,"100% win rate Israel-related. IDF reservist inculpé. Premier cas de prosecution effective. Compte deleted post-exposure."
12,Taylor Swift Kelce engagement,C,2025-08,2025-08-27,2025-08-27,"Taylor Swift and Travis Kelce engaged in 2025?",,Yes,0.25,,3000,,culture,"romanticpaul: lifetime -$4885 avant ce trade. Engagement réel ~2 semaines avant annonce. Wire fraud fragile."
13,Pope Francis decease,C,2025-04,2025-04-21,2025-04-21,"New Pope in 2025?",,Yes,0.56,,11500,,culture,"syncope: sharp money actuariel, pas insider. Hoax @Yoxic 23 avril gonfle volume +152%."
14,Sethi derivative manipulation,A,2024-09-06,2024-09-06,2024-09-06,"Favorite to win on Polymarket on Friday",,Harris (primary) + derivative,0.03,2500000,,,,"politics","Manipulation échouée. $2.5M primary market + $11K derivative. Sethi recommande suppression contrats dérivés."
15,XRP a4385 banging the close,A,2026-01-17,2026-01-17,2026-01-17,"Will XRP rise or fall between 12:45 PM ET and 1:00 PM ET on Jan 17?",,UP,0.48,,233000,,crypto,"Cross-market manipulation. $1M XRP spot achat 2min avant settlement. Trader revendique stratégie."
16,Wash trading systémique,A,2022-11,2025-10,,Tous marchés (systémique),,,,,,,,"-25% volume historique. Peak 60% hebdo déc 2024. 14% des 1.26M wallets suspects. $4.5Mds classifiés wash. Motivation: airdrop farming."
17,UMA oracle manipulation,A,2025-03,2025-07,,"Zelenskyy suit ($237M) + Ukraine mineral deal ($7M)",,Manipulation vote UMA,,,100000-300000,,crypto,"Token-weighted voting + side-bet = résolution manipulable. ~5M UMA tokens via 3 comptes (~25% vote). Polymarket acquiert Brahma mars 2026."
18,AI markets OpenAI,C,2025-12,2025-12,,"Will OpenAI release a new model by Dec 13?",,Yes,,,13000,,crypto,"4 comptes. Indices forts pas de prosecution. Adresses non publiées. Possiblement lié AlphaRaccoon."
